trial,trialOnset,leftId,rightId,ratL,ratR,frame,trialOnsetTim,trialSnd1Tim,trialSnd2Tim,trialThinkTime,trialRespTime,trialEnd,choice,choiceTime,primerSound
0.0,105.63910258299984,1.0,5.0,-1.0,-1.0,2.0,0.007159777000197209,1.0368543060003503,1.5380429839997305,3.514279078999607,3.514652152999588,12.016119410999636,1.0,6.1168693479994545,1.0
1.0,140.26005778200033,6.0,1.0,-1.0,-1.0,1.0,0.006985713999711152,1.0376022850005029,1.5388725220000197,3.514373677000549,3.5147436520001065,11.015565345999676,1.0,4.2498956300005375,2.0
2.0,151.2771442530002,6.0,5.0,-1.0,-1.0,2.0,0.007057354000608029,1.0375906880008188,1.5388901210008044,3.5156224520005708,3.515989319000255,12.000157364000188,1.0,6.350817642000038,2.0
3.0,174.8141384290002,1.0,2.0,-1.0,-1.0,1.0,0.006996725000135484,1.037230523999824,1.5385402339998109,3.5150629969994043,3.515543348999927,10.015632912999536,-1.0,4.00034891300038,2.0
4.0,184.8309928790004,1.0,5.0,-1.0,-1.0,1.0,0.006804640999689582,1.038631665000139,1.5398149590000685,3.5156989140004953,3.5160649190002005,11.00057067600028,-1.0,3.9009394479999173,1.0
5.0,218.4359491770001,2.0,6.0,-1.0,-1.0,1.0,0.0070636870004818775,1.0372251910002888,1.5384155240008113,3.5152541200004634,3.5156202030002532,11.016093514000204,1.0,3.86702754199996,2.0
6.0,234.46919414100012,5.0,1.0,-1.0,-1.0,2.0,0.006873013999211253,1.0390709529992819,1.5403764519996912,3.500192633999177,3.500674185999742,10.001832230999753,-1.0,4.085629001000598,2.0
7.0,259.54031666799983,1.0,6.0,-1.0,-1.0,1.0,0.007033699999738019,1.03783338500034,1.5391076010000688,3.5158191580003404,3.5162984309999956,12.000772209000388,-1.0,3.866941412000415,1.0
8.0,286.61088415300037,2.0,1.0,-1.0,-1.0,2.0,0.007261188000484253,1.0367029290000573,1.5380352629999834,3.51463703599984,3.5151842309996937,12.016325495999808,-1.0,4.166530855000019,2.0
9.0,298.62852221699995,1.0,5.0,-1.0,-1.0,2.0,0.006909414999427099,1.0381485789994258,1.539388924999912,3.5157264310000755,3.5160927359993366,12.000550056000066,1.0,3.9009780260003026,2.0
10.0,310.63030346400046,6.0,2.0,-1.0,-1.0,2.0,0.0067809169995598495,1.0376302369995756,1.5388482379994457,3.5150810719997025,3.515448238999852,11.016440255999441,1.0,3.9006128129994977,1.0
11.0,321.6481236139998,1.0,2.0,-1.0,-1.0,2.0,0.007320513999729883,1.0381092480001826,1.5393679799999518,3.5151480699996682,3.515515897000114,10.016765014000157,1.0,3.883897426999283,2.0
12.0,336.6824424890001,6.0,1.0,-1.0,-1.0,1.0,0.006692271000247274,1.038448836000498,1.5397483790002298,3.515795758999957,3.5161671160003607,11.00079786400056,1.0,3.9689279599997462,1.0
13.0,347.68480091699985,5.0,1.0,-1.0,-1.0,1.0,0.007314719999158115,1.037755630999527,1.5389861429994198,3.5155807799992544,3.5160530839993953,12.016887032999875,1.0,3.899809328999254,1.0
14.0,359.70301765299973,2.0,6.0,-1.0,-1.0,1.0,0.007048819999909028,1.0379064740000103,1.5391498230001162,3.5147611120000875,3.515124194999771,10.01648638200004,1.0,3.8840330259999973,1.0
15.0,369.72114444399995,6.0,1.0,-1.0,-1.0,2.0,0.007441046000167262,1.0534458780002751,1.554753245000029,3.514561247000529,3.5149130070003594,12.016359128000659,-1.0,4.150301228999524,2.0
16.0,389.27708305000033,2.0,5.0,-1.0,-1.0,2.0,0.007576072000119893,1.0500343029998476,1.5513036109996392,3.511270916000285,3.5116403230003925,12.012857482999607,-1.0,3.846629510000639,1.0
17.0,412.8269913280001,1.0,2.0,-1.0,-1.0,2.0,0.007084304000272823,1.0523847580006986,1.5536796700007471,3.5143068910001602,3.5147871740000483,10.01533238400043,1.0,6.332739847000084,1.0
18.0,454.46870296,2.0,6.0,-1.0,-1.0,2.0,0.0070342200006052735,1.0499961949999488,1.5512715089998892,3.5106489740001052,3.511222754999835,11.012586206999913,-1.0,4.979938925999704,1.0
19.0,465.4830022619999,5.0,6.0,-1.0,-1.0,2.0,0.007388494000224455,1.05378944199947,1.5551114909994794,3.514573728999494,3.5151125470001716,10.015409533999446,-1.0,3.83328216100017,1.0
20.0,498.5698222330002,5.0,2.0,-1.0,-1.0,2.0,0.007151539999540546,1.0375656910000544,1.5388073220001388,3.5148671420001847,3.515233287999763,10.016384534999816,1.0,3.817101392999575,1.0
21.0,508.5909746799998,2.0,5.0,-1.0,-1.0,2.0,0.007548662999397493,1.051187445999858,1.5523479069997848,3.5119122569994943,3.5123677849996966,10.012205246000121,-1.0,3.8311207980004838,2.0
22.0,518.6048973289999,5.0,6.0,-1.0,-1.0,2.0,0.007029322000562388,1.038421871000537,1.5396492079999007,3.5156843210006627,3.5160513240007276,11.000156777000484,-1.0,6.017857023000033,2.0
23.0,537.144125932,6.0,5.0,-1.0,-1.0,1.0,0.00667153300037171,1.0514200550005626,1.5526571280006465,3.5119713849999243,3.5123354830002427,11.01344158000029,-1.0,3.8309023880001405,1.0
